"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.910101042E0,1.103639969E1,-4.691693573E0,1.440753937E0,1.207848826E1
1.920125042E0,1.106708588E1,-4.729564819E0,1.559906158E0,1.213599936E1
1.930150042E0,1.117082016E1,-4.793481903E0,1.607956238E0,1.226173785E1
1.940174042E0,1.133083740E1,-4.905299377E0,1.607207794E0,1.245122304E1
1.950198042E0,1.141645935E1,-4.962031403E0,1.709145813E0,1.256497032E1
1.960222042E0,1.138801849E1,-4.895270233E0,1.787582703E0,1.252382081E1
1.970246042E0,1.131856293E1,-4.732259216E0,1.796564026E0,1.239886230E1
1.980270042E0,1.115929413E1,-4.481979675E0,1.749711456E0,1.215234452E1
1.990294042E0,1.087728058E1,-4.159101105E0,1.749561768E0,1.177600616E1
2.000319042E0,1.063328796E1,-3.894601135E0,1.666185150E0,1.144599947E1
2.010343042E0,1.040037231E1,-3.717519379E0,1.518592072E0,1.114871367E1
2.020367042E0,1.008887009E1,-3.596570892E0,1.365161133E0,1.079742037E1
2.030391042E0,9.728719025E0,-3.504662018E0,1.232686615E0,1.041393998E1
2.040415042E0,9.342821503E0,-3.470682678E0,1.098116455E0,1.002695426E1
2.050439042E0,9.101373596E0,-3.573069763E0,1.054856415E0,9.834355644E0
2.060463042E0,9.056017914E0,-3.869603119E0,1.041534119E0,9.903033983E0
2.070488042E0,9.165290680E0,-4.291575623E0,1.089883575E0,1.017880252E1
2.080512042E0,9.289083252E0,-4.692442017E0,1.166374512E0,1.047217787E1
2.090536042E0,9.413923645E0,-5.004093933E0,1.304537201E0,1.074079754E1
2.100560042E0,9.601782990E0,-5.309159546E0,1.470991058E0,1.107001474E1
2.110584042E0,9.845326538E0,-5.634433136E0,1.549577637E0,1.144895114E1
2.120608042E0,9.933193817E0,-5.841003571E0,1.592987366E0,1.163285308E1
2.130632042E0,9.768386536E0,-5.865702209E0,1.641336823E0,1.151181239E1
2.140657042E0,9.521100769E0,-5.784271545E0,1.723964996E0,1.127303031E1
2.150681042E0,9.182504883E0,-5.610033875E0,1.830243988E0,1.091515777E1
2.160705042E0,8.840017090E0,-5.370980988E0,1.907333679E0,1.051813960E1
2.170729042E0,8.566086731E0,-5.165458374E0,1.946252747E0,1.019056926E1
2.180753042E0,8.344697113E0,-4.967869263E0,1.957629089E0,9.906866637E0
2.190777042E0,8.109536133E0,-4.770280151E0,1.957778778E0,9.610049259E0
2.200801042E0,7.866741028E0,-4.624483337E0,1.994452515E0,9.340733449E0
2.210826042E0,7.667355652E0,-4.514761505E0,2.023192749E0,9.124950577E0
2.220850042E0,7.400011597E0,-4.373904419E0,1.992656250E0,8.823938487E0
2.230874042E0,7.149732056E0,-4.211791534E0,1.957030334E0,8.525715461E0
2.240898042E0,7.028783569E0,-4.112248535E0,1.914219360E0,8.365322602E0
2.250922042E0,6.994654541E0,-4.094884644E0,1.870659943E0,8.318211407E0
2.260946042E0,6.948700104E0,-4.137845306E0,1.881886597E0,8.303474819E0
2.270970042E0,6.846013641E0,-4.141138458E0,1.909429321E0,8.225743179E0
2.280994042E0,6.757098541E0,-4.129013672E0,1.962568817E0,8.158358350E0
2.291019042E0,6.697821808E0,-4.092339935E0,1.992207184E0,8.097959779E0
2.301043042E0,6.728507996E0,-4.113745422E0,2.011666718E0,8.138951052E0
2.311067042E0,6.816375275E0,-4.178410950E0,1.987566833E0,8.238477521E0
2.321091042E0,6.836283875E0,-4.196074219E0,1.943408661E0,8.253402528E0
2.331115042E0,6.874903564E0,-4.208648071E0,1.922601929E0,8.286942487E0
2.341139042E0,6.886728973E0,-4.187841339E0,1.900298309E0,8.281073886E0
2.351163042E0,6.946454773E0,-4.190386047E0,1.849254456E0,8.320595602E0
2.361188042E0,7.069798279E0,-4.222718811E0,1.696422272E0,8.407808893E0
2.371212042E0,7.101083221E0,-4.164489899E0,1.484163666E0,8.364873031E0
2.381236042E0,7.096293182E0,-4.041146393E0,1.315913544E0,8.271630405E0
2.391260042E0,7.124584351E0,-3.964655457E0,1.199755096E0,8.241213949E0
2.401284042E0,7.147486725E0,-3.954177246E0,1.063388672E0,8.237285939E0
2.411308042E0,7.151827698E0,-3.946094055E0,9.945318604E-1,8.228571646E0
2.421332042E0,7.244784393E0,-3.990401917E0,9.972262573E-1,8.330946439E0
2.431357042E0,7.386838989E0,-4.046086121E0,1.067130890E0,8.489697962E0
2.441381042E0,7.699089661E0,-4.121529236E0,1.092577972E0,8.800949464E0
2.451405042E0,8.035739594E0,-4.190685425E0,1.060694275E0,9.124693282E0
2.461429042E0,8.344397736E0,-4.301904144E0,1.033600616E0,9.444770144E0
2.471453042E0,8.600515137E0,-4.432881775E0,1.037043457E0,9.731123295E0
2.481477042E0,8.848100281E0,-4.521647186E0,1.068328400E0,9.993772932E0
2.491501042E0,9.081315308E0,-4.574038239E0,1.018631744E0,1.021908627E1
2.501526042E0,9.300459595E0,-4.638404388E0,8.779243469E-1,1.042996141E1
2.511549375E0,9.516161041E0,-4.712649994E0,8.292755127E-1,1.065148294E1
2.521573375E0,9.734407196E0,-4.784201202E0,7.957452393E-1,1.087568274E1
2.531597375E0,9.993218994E0,-4.907095642E0,7.366181946E-1,1.115735721E1
2.541621375E0,1.023721161E1,-5.000202026E0,6.381230164E-1,1.141094750E1
2.551645375E0,1.054467224E1,-5.224286041E0,5.170248413E-1,1.177924412E1
2.561669375E0,1.101394638E1,-5.652844849E0,5.228627014E-1,1.239092632E1
2.571694375E0,1.151016449E1,-6.178551636E0,5.658233643E-1,1.307587638E1
2.581718375E0,1.205098984E1,-6.598278809E0,6.300398254E-1,1.375356643E1
2.591742375E0,1.262115417E1,-6.851552124E0,7.225474548E-1,1.437912981E1
2.601766375E0,1.302261932E1,-6.938371582E0,7.197033691E-1,1.477320504E1
2.611790375E0,1.320344330E1,-6.905739441E0,6.688092041E-1,1.491534304E1
2.621814375E0,1.324849960E1,-6.844816132E0,7.051835632E-1,1.492888253E1
2.631838375E0,1.305225769E1,-6.555018768E0,8.490344238E-1,1.463046689E1
2.641863375E0,1.267878433E1,-6.015989685E0,1.059796143E0,1.407362327E1
2.651887375E0,1.216654953E1,-5.399421844E0,1.214873657E0,1.336617379E1
2.661911375E0,1.158770325E1,-4.827910309E0,1.219514008E0,1.261232726E1
2.671935375E0,1.102023331E1,-4.298311615E0,1.066681824E0,1.187681923E1
2.681959375E0,1.043360321E1,-3.770359497E0,9.361532593E-1,1.113337638E1
2.691983375E0,9.899962921E0,-3.260070648E0,8.869056702E-1,1.046058928E1
2.702007375E0,9.424850922E0,-2.836301880E0,8.818162537E-1,9.881802627E0
2.712032375E0,8.983867950E0,-2.514321442E0,8.951385498E-1,9.371924492E0
2.722056375E0,8.715775452E0,-2.365979919E0,9.683363342E-1,9.082966363E0
2.732080375E0,8.616831207E0,-2.424059143E0,1.013242950E0,9.008468464E0
2.742104375E0,8.686586151E0,-2.536026306E0,1.035247192E0,9.108235018E0
2.752128375E0,8.852590942E0,-2.627635803E0,9.746232605E-1,9.285619355E0
2.762152375E0,9.098978577E0,-2.700983276E0,9.021739197E-1,9.534182691E0
2.772176375E0,9.440568237E0,-2.791844330E0,8.761280823E-1,9.883639199E0
2.782201375E0,9.790989532E0,-2.921624451E0,8.256829834E-1,1.025090815E1
2.792225375E0,1.002495300E1,-3.024310913E0,8.649014282E-1,1.050686412E1
2.802249375E0,1.015488281E1,-3.105591888E0,9.702822876E-1,1.066338566E1
2.812273375E0,1.016940262E1,-3.157084808E0,1.090033264E0,1.070383607E1
2.822297375E0,1.010788055E1,-3.193159790E0,1.169967041E0,1.066463040E1
2.832321375E0,1.003752686E1,-3.206482086E0,1.237177277E0,1.060962206E1
2.842346375E0,9.901759186E0,-3.189567261E0,1.286873932E0,1.048209038E1
2.852370375E0,9.639205170E0,-3.124153290E0,1.366059265E0,1.022451603E1
2.862394375E0,9.330696716E0,-3.018023987E0,1.541195068E0,9.927016281E0
2.872418375E0,9.017248535E0,-2.875520325E0,1.753603363E0,9.625721429E0
2.882442375E0,8.652307434E0,-2.663411407E0,1.911974030E0,9.252666045E0
2.892466375E0,8.256231079E0,-2.465522919E0,2.019899597E0,8.850093179E0
2.902490375E0,7.843688965E0,-2.289938049E0,2.087259521E0,8.433500172E0
2.912515375E0,7.548353119E0,-2.168241119E0,2.064506836E0,8.120412110E0
2.922539375E0,7.333699493E0,-2.134860535E0,1.962119751E0,7.886107511E0
2.932563375E0,7.162904663E0,-2.122735748E0,1.856140137E0,7.697952096E0
2.942587375E0,7.086563416E0,-2.135459290E0,1.779349823E0,7.612204228E0
2.952611375E0,7.081473999E0,-2.203717346E0,1.720073090E0,7.613297287E0
2.962635375E0,7.095993805E0,-2.274370422E0,1.650018768E0,7.632067271E0
2.972659375E0,7.159910889E0,-2.343526611E0,1.573378143E0,7.696230226E0
2.982684375E0,7.294331360E0,-2.454895020E0,1.534908142E0,7.847911987E0
2.992708375E0,7.538024597E0,-2.603086853E0,1.485660553E0,8.112032006E0
3.002732375E0,7.879464569E0,-2.792892151E0,1.409169617E0,8.477733628E0
3.012756375E0,8.155640259E0,-2.963537292E0,1.337468719E0,8.779854434E0
3.022780375E0,8.285270691E0,-3.071612549E0,1.298100586E0,8.931157775E0
3.032804375E0,8.355025635E0,-3.141367493E0,1.306632843E0,9.021193517E0
3.042828375E0,8.478818207E0,-3.246299286E0,1.289268951E0,9.170116230E0
3.052853375E0,8.687334595E0,-3.417094116E0,1.321152649E0,9.428242619E0
3.062877375E0,8.920549622E0,-3.649111633E0,1.425186310E0,9.742862889E0
3.072901375E0,9.202862549E0,-3.938459930E0,1.559606781E0,1.013096832E1
3.082925375E0,9.574988708E0,-4.284839630E0,1.676214294E0,1.062308589E1
3.092949375E0,1.004770569E1,-4.651427307E0,1.770967255E0,1.121287165E1
3.102973375E0,1.064661026E1,-5.004542999E0,1.825154572E0,1.190491285E1
3.112998375E0,1.127874573E1,-5.334606628E0,1.798360291E0,1.260564290E1
3.123022375E0,1.182915115E1,-5.593867493E0,1.652713165E0,1.318907242E1
3.133046375E0,1.218151840E1,-5.705535278E0,1.419198761E0,1.352614685E1
3.143070375E0,1.226384720E1,-5.616769867E0,1.209484863E0,1.354300209E1
3.153094375E0,1.234542755E1,-5.495372314E0,1.064436493E0,1.355513642E1
3.163118375E0,1.258971954E1,-5.609584808E0,9.858499146E-1,1.381811782E1
3.173142375E0,1.300420761E1,-6.098019104E0,9.648934937E-1,1.439535592E1
3.183167375E0,1.348201401E1,-6.758296051E0,9.370513916E-1,1.511017315E1
3.193191375E0,1.386102585E1,-7.245532837E0,8.259823608E-1,1.566231243E1
3.203215375E0,1.394799500E1,-7.448510742E0,7.524851990E-1,1.583013299E1
3.213239375E0,1.388811951E1,-7.513775024E0,8.015830994E-1,1.581073098E1
3.223263375E0,1.375818970E1,-7.558232574E0,8.678952026E-1,1.572157452E1
3.233287375E0,1.340911560E1,-7.441026306E0,8.463400269E-1,1.535869607E1
3.243311375E0,1.287397842E1,-7.006330261E0,7.461982727E-1,1.467599387E1
3.253336375E0,1.209065735E1,-6.267766113E0,6.168672180E-1,1.363265977E1
3.263360375E0,1.126257935E1,-5.485941925E0,5.444178772E-1,1.253944349E1
3.273384375E0,1.050006500E1,-4.913232880E0,4.788542175E-1,1.160260849E1
3.283408375E0,9.829908600E0,-4.594096527E0,4.352947998E-1,1.085920382E1
3.293432375E0,9.361981659E0,-4.484973450E0,4.574487305E-1,1.039090693E1
